class name: scp 	 label: 0 	 no. packet: 7000
class name: skype 	 label: 1 	 no. packet: 7000
class name: sftp 	 label: 2 	 no. packet: 7000
class name: aimchat 	 label: 3 	 no. packet: 7000
class name: facebook 	 label: 4 	 no. packet: 7000
class name: ftps 	 label: 5 	 no. packet: 7000
class name: netflix 	 label: 6 	 no. packet: 7000
class name: icq 	 label: 7 	 no. packet: 7000
class name: hangouts 	 label: 8 	 no. packet: 7000
class name: spotify 	 label: 9 	 no. packet: 7000
class name: gmail 	 label: 10 	 no. packet: 7000
class name: voipbuster 	 label: 11 	 no. packet: 7000
class name: bittorrent 	 label: 12 	 no. packet: 7000
class name: youtube 	 label: 13 	 no. packet: 7000
class name: email 	 label: 14 	 no. packet: 7000
class name: vimeo 	 label: 15 	 no. packet: 7000
Initial val. accuracy on unseen test data (not validation dataset): 96.2768%
Random Seed: 2024
-------------------- Start searching for the pruning and quantization policies ----------------------------------------
Saving state_dict checkpoint with masks for finetuning at networks/quantized_models/iscx2016vpn/CNN1D_TrafficClassification_iscx2016vpn.pt
Saving best model in onnx at networks/quantized_models/iscx2016vpn/model.onnx
Episode 105 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 5.639
Episode 106 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 5.578
Episode 107 	 Avg length: 0 	 Avg reward: 7 	 Elapsed time 5.628
Episode 108 	 Avg length: 0 	 Avg reward: 5 	 Elapsed time 5.598
Episode 109 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 5.590
Episode 110 	 Avg length: 0 	 Avg reward: 5 	 Elapsed time 5.643
Episode 111 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 5.584
Episode 112 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 5.597
Episode 113 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 5.555
Episode 114 	 Avg length: 0 	 Avg reward: 5 	 Elapsed time 5.611
Episode 115 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 5.642
Episode 116 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 5.648
Episode 117 	 Avg length: 0 	 Avg reward: 7 	 Elapsed time 5.576
Episode 118 	 Avg length: 0 	 Avg reward: 5 	 Elapsed time 5.707
Episode 119 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 5.633
Episode 120 	 Avg length: 0 	 Avg reward: 7 	 Elapsed time 5.613
Episode 121 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 5.719
Episode 122 	 Avg length: 0 	 Avg reward: 7 	 Elapsed time 5.606
Episode 123 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 5.676
Episode 124 	 Avg length: 0 	 Avg reward: 5 	 Elapsed time 5.659
Episode 125 	 Avg length: 0 	 Avg reward: 5 	 Elapsed time 5.689
Episode 126 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 5.610
Episode 127 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 5.657
Episode 128 	 Avg length: 0 	 Avg reward: 7 	 Elapsed time 5.665
Episode 129 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 5.576
Episode 130 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 5.653
Episode 131 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 5.634
Episode 132 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 5.638
Episode 133 	 Avg length: 0 	 Avg reward: 7 	 Elapsed time 5.553
